Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close
01/01/2019,997,732,1.36,"10,881.70","10,923.60","10,807.10","10,910.10"
02/01/2019,545,"1,212",0.45,"10,868.85","10,895.35","10,735.05","10,792.50"
03/01/2019,569,"1,199",0.47,"10,796.80","10,814.05","10,661.25","10,672.25"
04/01/2019,883,893,0.99,"10,699.70","10,741.05","10,628.65","10,727.35"
07/01/2019,921,897,1.03,"10,804.85","10,835.95","10,750.15","10,771.80"
08/01/2019,871,913,0.95,"10,786.25","10,818.45","10,733.25","10,802.15"
09/01/2019,721,"1,061",0.68,"10,862.40","10,870.40","10,749.40","10,855.15"
10/01/2019,880,886,0.99,"10,859.35","10,859.35","10,801.80","10,821.60"
11/01/2019,737,"1,017",0.72,"10,834.75","10,850.15","10,739.40","10,794.95"
14/01/2019,653,"1,137",0.57,"10,807.00","10,808.00","10,692.35","10,737.60"
15/01/2019,"1,137",629,1.81,"10,777.55","10,896.95","10,777.55","10,886.80"
16/01/2019,882,865,1.02,"10,899.65","10,928.15","10,876.90","10,890.30"
17/01/2019,669,"1,099",0.61,"10,920.85","10,930.65","10,844.65","10,905.20"
18/01/2019,522,"1,230",0.42,"10,914.85","10,928.20","10,852.20","10,906.95"
21/01/2019,553,"1,238",0.45,"10,919.35","10,987.45","10,885.75","10,961.85"
22/01/2019,538,"1,244",0.43,"10,949.80","10,949.80","10,864.15","10,922.75"
23/01/2019,677,"1,073",0.63,"10,931.05","10,944.80","10,811.95","10,831.50"
24/01/2019,591,"1,178",0.5,"10,844.05","10,866.60","10,798.65","10,849.80"
25/01/2019,443,"1,356",0.33,"10,859.75","10,931.70","10,756.45","10,780.55"
28/01/2019,352,"1,481",0.24,"10,792.45","10,804.45","10,630.95","10,661.55"
29/01/2019,806,985,0.82,"10,653.70","10,690.35","10,583.65","10,652.20"
30/01/2019,984,811,1.21,"10,702.25","10,710.20","10,612.85","10,651.80"
31/01/2019,"1,024",760,1.35,"10,690.55","10,838.05","10,678.55","10,830.95"
